Date,actual_spread,fair_spread,mispricing_bps,signal
2025-12-26,1.0,0.9964000000000003,0.35999999999997145,FLAT
2025-12-29,1.0,0.9984000000000002,0.15999999999998238,FLAT
2025-12-30,1.01,0.9955000000000003,1.4499999999999735,FLAT
2025-12-31,1.01,1.0041000000000004,0.5899999999999572,FLAT
2026-01-02,1.01,1.0064000000000006,0.35999999999993815,FLAT
2026-01-05,1.01,1.0041000000000004,0.5899999999999572,FLAT
2026-01-06,1.0,1.0036000000000005,-0.36000000000004917,FLAT
2026-01-07,1.01,0.9969000000000002,1.3099999999999778,FLAT
2026-01-08,1.01,1.0081000000000007,0.18999999999993467,FLAT
2026-01-09,0.99,1.0054000000000007,-1.5400000000000746,FLAT
2026-01-12,0.99,0.9881999999999996,0.1800000000000357,FLAT
2026-01-13,0.98,0.9944,-1.4399999999999968,FLAT
2026-01-14,0.98,0.9890999999999999,-0.9099999999999886,FLAT
2026-01-15,0.97,0.9828999999999998,-1.28999999999998,FLAT
2026-01-16,0.96,0.9555000000000001,0.44999999999998375,FLAT
2026-01-20,0.96,0.9567999999999997,0.32000000000003137,FLAT
2026-01-21,0.95,0.9551999999999999,-0.5199999999999982,FLAT
2026-01-22,0.93,0.9588,-2.8799999999999937,SELL
2026-01-23,0.94,0.9626000000000003,-2.2600000000000398,SELL
2026-01-26,0.94,0.9626000000000002,-2.2600000000000287,SELL
2026-01-27,0.94,0.9644000000000003,-2.440000000000031,SELL
2026-01-28,0.93,0.9644000000000003,-3.440000000000021,SELL
2026-01-29,0.94,0.9632000000000004,-2.3200000000000442,SELL
2026-01-30,0.94,0.9665000000000004,-2.650000000000041,SELL
2026-02-02,0.93,0.9651000000000002,-3.510000000000013,SELL
2026-02-03,0.94,0.9652000000000003,-2.5200000000000333,SELL
2026-02-04,0.95,0.9658000000000004,-1.580000000000048,FLAT
2026-02-05,0.96,0.9687000000000003,-0.8700000000000374,FLAT
2026-02-06,0.96,0.9688000000000001,-0.8800000000000141,FLAT
2026-02-09,0.96,0.9685000000000001,-0.8500000000000174,FLAT
2026-02-10,0.98,0.9717000000000003,0.8299999999999641,FLAT
2026-02-11,0.98,1.0072,-2.7200000000000113,SELL
2026-02-12,0.99,1.0093000000000003,-1.9300000000000317,FLAT
2026-02-13,1.0,1.0128000000000008,-1.280000000000081,FLAT
2026-02-17,1.01,1.014000000000001,-0.4000000000000892,FLAT
2026-02-18,0.99,1.0214000000000005,-3.140000000000054,SELL
2026-02-19,0.99,1.012900000000001,-2.290000000000103,SELL
2026-02-20,0.99,1.013100000000001,-2.310000000000101,SELL
2026-02-23,1.01,1.0133000000000008,-0.3300000000000747,FLAT
2026-02-24,1.02,1.0208000000000006,-0.0800000000000578,FLAT
2026-02-25,1.01,1.0284000000000006,-1.8400000000000638,FLAT
2026-02-26,1.03,1.024700000000001,0.5299999999998972,FLAT
2026-02-27,1.07,1.0409000000000008,2.9099999999999238,BUY
2026-03-02,1.06,1.0789000000000002,-1.890000000000014,FLAT
2026-03-03,1.06,1.0766000000000004,-1.6600000000000392,FLAT
2026-03-04,1.03,1.0756000000000003,-4.560000000000031,SELL
2026-03-05,1.04,1.041300000000001,-0.1300000000000967,FLAT
2026-03-06,1.06,1.0531000000000008,0.689999999999924,FLAT
2026-03-09,1.07,1.0742000000000003,-0.42000000000002036,FLAT
2026-03-10,1.06,1.0752000000000002,-1.5200000000000102,FLAT
2026-03-11,1.09,1.0755,1.450000000000018,FLAT
2026-03-12,1.12,1.104299999999999,1.5700000000001157,FLAT
2026-03-13,1.15,1.134599999999999,1.5400000000000968,FLAT
2026-03-16,1.16,1.173300000000001,-1.3300000000000978,FLAT
2026-03-17,1.14,1.1716000000000015,-3.1600000000001627,SELL
2026-03-18,1.13,1.170800000000001,-4.080000000000106,SELL
2026-03-19,1.13,1.150399999999999,-2.0399999999999086,SELL
2026-03-20,1.11,1.149799999999999,-3.9799999999998947,SELL
2026-03-23,1.11,1.1152999999999986,-0.5299999999998528,FLAT
2026-03-24,1.09,1.1140999999999988,-2.409999999999868,SELL
2026-03-25,1.09,1.105699999999999,-1.5699999999998937,FLAT
2026-03-26,1.11,1.105699999999999,0.4300000000001081,FLAT
2026-03-27,1.14,1.1186999999999987,2.1300000000001207,BUY
